symbol,name,sector,policy_rating,raw_total,final_score,rating,action,alert_level,overall_confidence,watermark,circuit_breakers_triggered,moat_score,moat_confidence,valuation_score,valuation_confidence,valuation_percentile,valuation_zone,valuation_metric,policy_score
300124,汇川技术,,neutral,54.29,54.29,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,44.77,0.9,73.14049586776859,avoid,PE_TTM,100.0
300251,光线传媒,,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
300274,阳光电源,,neutral,61.34,61.34,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,63.57,0.9,53.71900826446281,hold,PE_TTM,100.0
300308,中际旭创,,neutral,41.22,41.22,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,9.92,0.9,94.04958677685951,avoid,PE_TTM,100.0
300316,晶盛机电,,neutral,37.65,37.65,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,0.41,0.9,99.75206611570248,avoid,PE_TTM,100.0
300347,泰格医药,,neutral,58.96,58.96,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,57.23,0.9,61.32231404958678,hold,PE_TTM,100.0
300394,天孚通信,,neutral,37.91,37.91,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,1.1,0.9,99.3388429752066,avoid,PE_TTM,100.0
300408,三环集团,,neutral,37.86,37.86,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,0.96,0.9,99.42148760330578,avoid,PE_TTM,100.0
300413,芒果超媒,,neutral,57.98,57.98,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,54.61,0.9,64.46280991735537,hold,PE_TTM,100.0
300418,昆仑万维,,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
300433,蓝思科技,,neutral,42.49,42.49,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,13.3,0.9,92.01834862385321,avoid,PE_TTM,100.0
300442,润泽科技,,neutral,62.44,62.44,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,66.52,0.9,50.173812282734644,hold,PE_TTM,100.0
300476,胜宏科技,,neutral,42.51,42.51,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,13.36,0.9,91.98347107438016,avoid,PE_TTM,100.0
300498,温氏股份,,neutral,49.25,49.25,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,31.34,0.9,81.19891008174388,avoid,PE_TTM,100.0
300502,新易盛,,neutral,51.86,51.86,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,38.29,0.9,77.02479338842976,avoid,PE_TTM,100.0
300628,亿联网络,,neutral,71.27,71.27,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,90.04,0.9,19.91735537190083,strong_buy,PE_TTM,100.0
300661,圣邦股份,,neutral,58.52,58.52,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,56.06,0.9,62.727272727272734,hold,PE_TTM,100.0
300750,宁德时代,,neutral,64.26,64.26,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,71.35,0.9,44.3801652892562,hold,PE_TTM,100.0
300759,康龙化成,,neutral,68.37,68.37,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,82.31,0.9,30.247933884297524,accumulate,PE_TTM,100.0
300760,迈瑞医疗,,neutral,72.46,72.46,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,93.22,0.9,13.553719008264462,strong_buy,PE_TTM,100.0
300782,卓胜微,,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
300803,指南针,,neutral,55.53,55.53,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,48.08,0.9,71.15384615384616,avoid,PE_TTM,100.0
300832,新产业,,neutral,73.17,73.17,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,95.12,0.9,9.75206611570248,strong_buy,PE_TTM,100.0
300866,安克创新,,neutral,54.91,54.91,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,46.42,0.9,72.14876033057851,avoid,PE_TTM,100.0
300896,爱美客,,neutral,70.06,70.06,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,86.84,0.9,24.21487603305785,accumulate,PE_TTM,100.0
300979,华利集团,,neutral,74.37,74.37,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,98.31,0.9,3.3884297520661155,strong_buy,PE_TTM,100.0
300999,金龙鱼,,neutral,74.92,74.92,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,99.79,0.9,0.4132231404958678,strong_buy,PE_TTM,100.0
301236,软通动力,,neutral,37.99,37.99,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,1.32,0.9,99.20634920634922,avoid,PE_TTM,100.0
301269,华大九天,,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
302132,中航成飞,,neutral,64.5,64.5,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,72.0,0.9,43.595041322314046,hold,PE_TTM,100.0
600000,浦发银行,,neutral,59.35,59.35,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,58.26,0.9,60.08264462809917,hold,PE_TTM,100.0
600009,上海机场,,neutral,74.05,74.05,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,97.46,0.9,5.084745762711865,strong_buy,PE_TTM,100.0
600010,包钢股份,,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
600011,华能国际,,neutral,72.59,72.59,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,93.57,0.9,12.86624203821656,strong_buy,PE_TTM,100.0
600015,华夏银行,,neutral,60.48,60.48,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,61.29,0.9,56.44628099173554,hold,PE_TTM,100.0
600016,民生银行,,neutral,56.95,56.95,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,51.86,0.9,67.76859504132231,hold,PE_TTM,100.0
600018,上港集团,,neutral,66.86,66.86,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,78.29,0.9,35.6198347107438,accumulate,PE_TTM,100.0
600019,宝钢股份,,neutral,58.39,58.39,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,55.72,0.9,63.1404958677686,hold,PE_TTM,100.0
600023,浙能电力,,neutral,60.13,60.13,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,60.35,0.9,57.57918552036199,hold,PE_TTM,100.0
600025,华能水电,,neutral,56.14,56.14,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,49.72,0.9,70.16528925619835,avoid,PE_TTM,100.0
600026,中远海能,,neutral,56.77,56.77,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,51.4,0.9,68.32369942196533,hold,PE_TTM,100.0
600027,华电国际,,neutral,64.81,64.81,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,72.84,0.9,42.590673575129536,hold,PE_TTM,100.0
600028,中国石化,,neutral,46.38,46.38,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,23.69,0.9,85.78512396694215,avoid,PE_TTM,100.0
600029,南方航空,,neutral,62.5,62.5,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,66.67,0.9,50.0,hold,PE_TTM,100.0
600030,中信证券,,neutral,74.83,74.83,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,99.55,0.9,0.9090909090909091,strong_buy,PE_TTM,100.0
600031,三一重工,,neutral,68.6,68.6,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,82.93,0.9,29.421487603305785,accumulate,PE_TTM,100.0
600036,招商银行,,neutral,67.55,67.55,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,80.14,0.9,33.14049586776859,accumulate,PE_TTM,100.0
