symbol,name,sector,policy_rating,raw_total,final_score,rating,action,alert_level,overall_confidence,watermark,circuit_breakers_triggered,moat_score,moat_confidence,valuation_score,valuation_confidence,valuation_percentile,valuation_zone,valuation_metric,policy_score
002179,中航光电,军工,neutral,52.38,52.38,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,39.67,0.9,76.19834710743801,avoid,PE_TTM,100.0
002230,科大讯飞,计算机,neutral,65.67,65.67,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,75.12,0.9,39.83471074380166,accumulate,PE_TTM,100.0
002236,大华股份,电子,neutral,66.3,66.3,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,76.8,0.9,37.60330578512397,accumulate,PE_TTM,100.0
002241,歌尔股份,电子,neutral,72.53,72.53,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,93.41,0.9,13.176895306859207,strong_buy,PE_TTM,100.0
002252,上海莱士,医药,neutral,56.92,56.92,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,51.79,0.9,67.85123966942149,hold,PE_TTM,100.0
002304,洋河股份,白酒,neutral,38.02,38.02,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,1.38,0.9,99.17355371900827,avoid,PE_TTM,100.0
002311,海大集团,农业,neutral,68.25,68.25,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,82.0,0.9,30.66115702479339,accumulate,PE_TTM,100.0
002352,顺丰控股,交通运输,neutral,75.0,75.0,Accumulate,分批建仓,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,100.0,0.9,0.0,strong_buy,PE_TTM,100.0
002371,北方华创,半导体,neutral,55.94,55.94,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,49.17,0.9,70.49586776859505,avoid,PE_TTM,100.0
002384,东山精密,电子,neutral,38.43,38.43,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,2.48,0.9,98.51239669421487,avoid,PE_TTM,100.0
002415,海康威视,电子,neutral,70.92,70.92,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,89.13,0.9,21.15702479338843,accumulate,PE_TTM,100.0
002422,科伦药业,医药,neutral,40.96,40.96,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,9.23,0.9,94.46280991735537,avoid,PE_TTM,100.0
002459,晶澳科技,科技,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
002460,赣锋锂业,有色金属,neutral,56.77,56.77,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,51.39,0.9,63.057851239669425,hold,PB,100.0
002463,沪电股份,电子,neutral,38.64,38.64,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,3.03,0.9,98.18181818181819,avoid,PE_TTM,100.0
